,Bitcoin Searches,Dogecoin Searches,Ethereum Searches,Litecoin Searches,BTC-USD,DOGE-USD,ETH-USD,LTC-USD,Time
2018-09-01,10.204081632653063,2.9411764705882355,4.3478260869565215,0.0,11.17437440941897,0.8723830562977417,3.9045072591092587,22.356689049982723,48.958333333333336
2018-10-01,8.16326530612245,0.0,4.3478260869565215,0.0,10.478899699856587,1.2178812840567794,2.791352278308651,22.119313448711072,50.0
2018-11-01,12.244897959183675,0.0,4.3478260869565215,0.0,9.985131658763546,0.579900924184469,2.001299232846463,17.841855325825428,51.04166666666667
2018-12-01,11.224489795918368,0.0,4.3478260869565215,0.0,6.231381554221995,0.10811714496559521,0.13838219870017854,11.378482270820822,52.083333333333336
2019-01-01,8.16326530612245,0.0,4.3478260869565215,0.0,5.776823954655851,0.15904832161081872,0.5816513562760393,10.758458473280303,53.12500000000001
2019-02-01,7.142857142857144,0.0,4.3478260869565215,0.0,5.308494194934506,0.03395415243700639,0.0,11.226063301770719,54.16666666666667
2019-03-01,7.142857142857144,0.0,4.3478260869565215,0.0,5.952007957446978,0.04884629231820603,0.6573309001449608,16.60830276283758,55.208333333333336
2019-04-01,11.224489795918368,0.0,4.3478260869565215,10.0,6.363776327633077,0.08041771485668914,0.7598263975291659,21.99741419982447,56.25000000000001
2019-05-01,16.3265306122449,0.0,4.3478260869565215,10.0,8.402203864866934,0.20789464860254891,1.2186091386140485,27.015406405392568,57.29166666666667
2019-06-01,18.36734693877551,0.0,4.3478260869565215,10.0,13.676731439473787,0.48578241705907965,3.5710068528200627,41.90711188709618,58.333333333333336
2019-07-01,17.346938775510203,0.0,8.695652173913043,10.0,17.314964648966725,0.4282987071877742,4.054456189995074,44.74281291320707,59.37500000000001
2019-08-01,14.285714285714286,0.0,4.3478260869565215,10.0,16.13747512187814,0.32405351997823184,2.4666472777419446,36.01182924693052,60.41666666666667
2019-09-01,11.224489795918368,0.0,4.3478260869565215,0.0,15.406176574098367,0.20849033974556075,1.446036965403739,23.402225143875754,61.458333333333336
2019-10-01,10.204081632653063,0.0,4.3478260869565215,0.0,13.228117576438112,0.17304699412454883,1.6176446757880223,20.261928046060113,62.50000000000001
2019-11-01,10.204081632653063,0.0,4.3478260869565215,0.0,14.69165122203983,0.23976384736548972,1.6972317122660825,21.247127668038672,63.54166666666667
2019-12-01,8.16326530612245,0.0,4.3478260869565215,0.0,12.036527057844193,0.15130440609871298,1.0039615762123146,17.063803663379943,64.58333333333334
2020-01-01,11.224489795918368,0.0,4.3478260869565215,0.0,11.419993448125247,0.06433419268946572,0.4977929702339692,14.788176100473809,65.625
2020-02-01,12.244897959183675,0.0,4.3478260869565215,0.0,14.941006871665238,0.172451302981537,1.6155334946264706,24.644312337449467,66.66666666666667
2020-03-01,18.36734693877551,0.0,4.3478260869565215,0.0,13.71914948498473,0.1253920494188423,2.49317403761436,21.16712363923052,67.70833333333334
2020-04-01,14.285714285714286,0.0,4.3478260869565215,0.0,10.180176196088151,0.0,0.5859504089693894,14.031094678841395,68.75
2020-05-01,18.36734693877551,0.0,8.695652173913043,0.0,13.838657106066304,0.1882369795772545,2.230783510225106,16.785852499029613,69.79166666666667
2020-06-01,12.244897959183675,0.0,4.3478260869565215,0.0,15.132890952149562,0.22129756062621897,2.7391055277450955,16.363147833057106,70.83333333333334
2020-07-01,12.244897959183675,2.9411764705882355,8.695652173913043,0.0,14.613084902034092,0.15130440609871298,2.634474862343446,14.8278520902922,71.875
2020-08-01,13.26530612244898,0.0,13.043478260869565,0.0,18.175208237621675,0.42085263724717425,5.28394201638406,20.969716813413864,72.91666666666667
2020-09-01,11.224489795918368,0.0,8.695652173913043,0.0,18.759046501798252,0.41936340938964467,7.2561595513625505,22.121715139585252,73.95833333333334
2020-10-01,11.224489795918368,0.0,4.3478260869565215,0.0,17.312222123587244,0.24393368536657256,5.605217910087308,16.679323788853086,75.0
2020-11-01,21.428571428571427,0.0,13.043478260869565,10.0,22.198580870773004,0.22755231762784334,6.1871066010994635,20.076917226616434,76.04166666666667
2020-12-01,29.591836734693878,0.0,13.043478260869565,10.0,31.777028159723386,0.5179495307405746,11.245854777800693,31.936895333596976,77.08333333333334
2021-01-01,64.28571428571428,29.411764705882355,47.826086956521735,20.0,47.095672165795975,0.8545124607014829,13.961169567538763,45.69150909697547,78.125
2021-02-01,66.3265306122449,47.05882352941177,56.52173913043478,20.0,53.839251200032905,10.496593292456357,26.73970960461565,47.509023319383644,79.16666666666667
2021-03-01,47.95918367346939,11.764705882352942,34.78260869565217,10.0,73.55155830994273,13.777635143228238,29.004630971656365,60.63789335713259,80.20833333333334
2021-04-01,48.9795918367347,70.58823529411765,47.826086956521735,20.0,96.08224815633216,15.441089969578993,40.119488630705824,72.70361490124452,81.25
2021-05-01,66.3265306122449,100.0,100.0,20.0,94.09889727315712,100.0,59.020741878553565,99.99999999999999,82.29166666666667
2021-06-01,43.87755102040817,23.529411764705884,43.47826086956522,10.0,60.678809033302045,96.48097794261278,57.57543313382413,69.21573174796099,83.33333333333334
2021-07-01,29.591836734693878,14.705882352941178,30.43478260869565,10.0,56.983757921847634,75.06127476562739,47.98482057028571,52.90837518153488,84.375
2021-08-01,30.612244897959183,11.764705882352942,43.47826086956522,10.0,67.49845958444601,61.33814858662247,53.65433490974894,53.04675670589664,85.41666666666667
2021-09-01,31.63265306122449,8.823529411764707,39.130434782608695,10.0,76.72693602256751,82.27920845178106,73.58776081016099,63.04132114320512,86.45833333333334
2021-10-01,34.693877551020414,11.764705882352942,39.130434782608695,10.0,71.35404112667923,60.347522121357265,64.07530620703832,56.303636235168945,87.5
2021-11-01,31.63265306122449,8.823529411764707,43.47826086956522,10.0,99.99999999999999,82.89306630228445,92.57256669609893,70.67197112557245,88.54166666666667
2021-12-01,33.673469387755105,8.823529411764707,43.47826086956522,10.0,92.77868135534065,63.34382499271045,100.0,76.45305888092197,89.58333333333334
2022-01-01,40.81632653061225,11.764705882352942,43.47826086956522,10.0,75.43727784674151,50.245567865891346,79.17356575236312,53.79833602063827,90.625
2022-02-01,34.693877551020414,5.882352941176471,39.130434782608695,10.0,62.62300381403112,41.69597557530393,57.14010751074354,40.098873453117264,91.66666666666667
2022-03-01,28.57142857142857,5.882352941176471,30.43478260869565,10.0,70.33570757126321,39.125292708038785,62.27406765654532,41.53997284302718,92.70833333333334
2022-04-01,22.448979591836736,5.882352941176471,26.08695652173913,0.0,74.19744541172591,40.53945321818577,70.30678595771549,45.342576510463864,93.75
2022-05-01,33.673469387755105,5.882352941176471,26.08695652173913,0.0,,,,,94.79166666666667
2022-06-01,40.81632653061225,5.882352941176471,34.78260869565217,0.0,,,,,95.83333333333334
2022-07-01,28.57142857142857,2.9411764705882355,26.08695652173913,0.0,,,,,96.875
2022-08-01,22.448979591836736,2.9411764705882355,26.08695652173913,0.0,,,,,97.91666666666667
2022-09-01,19.387755102040817,2.9411764705882355,30.43478260869565,0.0,,,,,98.95833333333334
2022-10-01,15.306122448979592,2.9411764705882355,17.391304347826086,0.0,,,,,100.0
